Driver,BHR,MAL,AUS,SMR,EUR,ESP,MON,GBR,CAN,USA,FRA,GER,HUN,TUR,ITA,CHN,JPN,BRA
Fernando Alonso,10,18,28,36,44,54,64,74,84,88,96,100,100,108,108,116,126,134
Michael Schumacher,8,11,11,21,31,39,43,51,59,69,79,89,89,95,105,115,115,120
Felipe Massa,0,4,4,9,15,20,20,24,28,36,42,50,52,62,62,62,70,80
Giancarlo Fisichella,0,10,14,15,18,24,27,32,37,43,46,49,49,52,57,63,69,72
Kimi Räikkönen,6,6,14,18,23,27,27,33,39,39,43,49,49,49,57,57,61,65
Jenson Button,5,11,11,13,13,16,16,16,16,16,16,21,31,36,40,45,50,56
Rubens Barrichello,0,0,2,2,6,8,13,13,13,16,16,16,21,22,25,28,28,30
Juan Pablo Montoya,4,9,9,15,15,15,23,26,26,26,26,26,26,26,26,26,26,26
Nick Heidfeld,0,0,5,5,5,6,8,10,12,12,13,13,19,19,20,22,23,23
Ralf Schumacher,0,1,7,7,7,7,8,8,8,8,13,13,16,18,18,18,20,20
Pedro de la Rosa,0,0,0,0,0,0,0,0,0,0,2,2,10,14,14,18,18,19
Jarno Trulli,0,0,0,0,0,0,0,0,3,8,8,10,10,10,12,12,15,15
David Coulthard,0,0,1,1,1,1,7,7,8,10,10,10,14,14,14,14,14,14
Mark Webber,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7
Jacques Villeneuve,0,2,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7
Robert Kubica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
Nico Rosberg,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Christian Klien,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Vitantonio Liuzzi,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Scott Speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiago Monteiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christijan Albers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takuma Sato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Doornbos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuji Ide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakon Yamamoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franck Montagny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
